subject,text,rating,M1,M2,M3,M4,M5,M6
18,7,8.03718833370878,5,7,6,1,3,6
18,8,5.19261942133522,12,12,9,7,4,7
18,9,6.63254628235008,15,23,9,3,4,11
18,10,7.73377171833766,10,27,11,2,4,12
18,11,12.6411802737261,5,16,7,3,4,8
18,12,16.0567783674618,8,15,6,3,4,7
19,0,7.26843586644474,10,12,6,2,4,7
19,1,11.422397567234,10,10,6,2,4,9
19,2,4.48015482892733,7,12,6,2,4,10
19,3,4.55113331696315,15,17,8,2,4,9
19,4,10.0385512711422,15,18,9,3,5,10
19,5,5.02377434395194,4,20,11,5,4,13
19,6,6.75890115420236,6,21,7,2,4,10
19,7,4.80507490875575,5,7,6,1,3,6
19,8,10.6782316612087,12,12,9,7,4,7
19,9,6.41820762527555,15,23,9,3,4,11
19,10,5.4384808355798,10,27,11,2,4,12
19,11,10.8050140149776,5,16,7,3,4,8
19,12,5.27405464861235,8,15,6,3,4,7
20,0,3.75667266094656,10,12,6,2,4,7
20,1,5.94264147610852,10,10,6,2,4,9
20,2,3.04083742577163,7,12,6,2,4,10
20,3,4.09859688254192,15,17,8,2,4,9
20,4,3.82818096551199,15,18,9,3,5,10
20,5,4.41789688648334,4,20,11,5,4,13
20,6,4.11486284220882,6,21,7,2,4,10
20,7,3.50535576473081,5,7,6,1,3,6
20,8,3.70573334121393,12,12,9,7,4,7
20,9,3.45213426016915,15,23,9,3,4,11
20,10,6.07831611360317,10,27,11,2,4,12
20,11,3.00233974191856,5,16,7,3,4,8
20,12,,8,15,6,3,4,7
