Participant,SnippetID,CL
1,1,1.62003279355675
1,2,1.77404203965138
1,3,1.67781943902288
1,4,2.11450134739493
1,5,1.97177954778938
1,6,2.62576715393289
1,7,1.42686258260684
1,8,1.82011253383612
1,9,1.37940465672579
1,10,1.47051192470338
1,11,1.35649616012919
1,12,1.66255348046823
1,13,2.07098628671798
1,14,2.61971607288541
1,15,1.48789869862756
1,16,1.12715090726883
2,1,15.1127841740199
2,2,11.0752676609494
2,3,19.0963541139063
2,4,14.1990213195776
2,5,14.3739467864801
2,6,35.3676068433202
2,7,13.3073825866434
2,8,17.120094606522
2,9,20.598191049319
2,10,5.91819977969361
2,11,21.1971904490458
2,12,15.9636275151178
2,13,6.77700009852448
2,14,15.9062495350705
2,15,22.4223461593342
2,16,10.1672686625589
3,1,1.60132569912325
3,2,1.4525873008771
3,3,1.4780966987302
3,4,1.00694351112768
3,5,1.28461159269341
3,6,1.18297992047474
3,7,0.91578257056727
3,8,1.05525393121602
3,9,0.556957562023129
3,10,0.858318063012239
3,11,1.21969449957598
3,12,1.12670188329791
3,13,1.41358999866575
3,14,1.19349603945934
3,15,0.880523552362912
3,16,1.13141334405493
4,1,0.761317998428096
4,2,5.49072107911695
4,3,3.14184909907094
4,4,5.66831407958457
4,5,3.54718893690762
4,6,8.13281242199424
4,7,5.08596829915499
4,8,6.20711680259561
4,9,4.86757298570004
4,10,6.64580413729908
4,11,5.18601590240122
4,12,5.71448381648663
4,13,3.29045412126049
4,14,3.84966386179748
4,15,5.44983181047671
4,16,4.09364169427322
5,1,3.58222278051624
5,2,4.42347028149554
5,3,4.20328401556421
5,4,5.88740801898273
5,5,9.3234258180869
5,6,5.76207095107062
5,7,3.09015029172485
5,8,7.77226871313149
5,9,3.18185767996609
5,10,2.93198916821932
5,11,6.29820880798709
5,12,4.70513710177847
5,13,2.30327644570004
5,14,2.7576985324807
5,15,13.6549100640609
5,16,3.07874535783658
6,1,2.38357958445096
6,2,2.64782047777524
6,3,2.4740599521535
6,4,2.01148970924861
6,5,1.79516846845955
6,6,3.02879919731667
6,7,2.26133664104898
6,8,2.73157343101417
6,9,1.63489133456536
6,10,2.31305248812377
6,11,2.4728083236613
6,12,1.73233167498779
6,13,1.46777863009158
6,14,1.54789146057042
6,15,2.65678351768276
6,16,2.13159689014629
7,1,26.2948087153842
7,2,12.846969411874
7,3,8.00803305268063
7,4,11.5808261870122
7,5,11.5545067199733
7,6,10.2937760945362
7,7,7.8356285234671
7,8,8.914379625864
7,9,8.84387917037954
7,10,8.86740502101346
7,11,14.0326975099395
7,12,14.1040807490941
7,13,14.7350844695608
7,14,9.95104883955868
7,15,9.88784086314662
7,16,15.0334098480317
8,1,4.01216398325233
8,2,4.49116406157549
8,3,3.03617236245073
8,4,3.50421681319024
8,5,3.19126086968577
8,6,4.46874179128645
8,7,4.03946052453071
8,8,6.08321683461617
8,9,5.78682094758597
8,10,3.69730897042726
8,11,6.90327387933352
8,12,3.59958743156515
8,13,5.48261759168094
8,14,2.94746506806408
8,15,3.37356602316647
8,16,4.17165340948709
9,1,6.88103282066536
9,2,4.96882859070445
9,3,5.6906464168229
9,4,4.1072689700702
9,5,4.38690157190543
9,6,76.3952152860921
9,7,5.73854358486043
9,8,5.86196339321816
9,9,34.3690717390568
9,10,42.3250558828184
9,11,51.4852636650438
9,13,3.74448825211322
9,14,11.9772505672587
9,15,39.3239865299959
9,16,64.9878665329932
10,1,5.01915769143711
10,2,8.11318989039466
10,3,9.14900356868027
10,4,6.3260934527914
10,5,3.70881761650421
10,6,3.53483948883967
10,7,4.20889425645195
10,8,6.7988798598824
10,9,3.9168502202635
10,10,3.28909119640193
10,11,5.4260029160494
10,12,5.52008887457743
10,13,7.16170319438816
10,14,7.66043229795885
10,15,8.17163637042488
