subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
6,11,1.2430393407651,10,27,11,2,5,6,10,27,11,2,4,12
6,12,1.30561988359853,5,17,7,3,8,6,5,16,7,3,4,8
6,13,1.60999852073351,8,16,6,3,7,5,8,15,6,3,4,7
7,1,13.9980986672448,10,12,6,2,7,6,10,12,6,2,4,7
7,2,7.88607710337247,10,10,6,2,6,5,10,10,6,2,4,9
7,3,5.97940399687033,7,13,6,2,6,5,7,12,6,2,4,10
7,4,6.96986071608196,15,17,8,2,8,7,15,17,8,2,4,9
7,5,7.23594594215174,15,18,9,3,10,5,15,18,9,3,5,10
7,6,4.97154101509233,4,21,5,4,5,11,4,20,11,5,4,13
7,7,5.88286889042884,6,23,7,2,13,10,6,21,7,2,4,10
7,8,6.13334934019656,4,7,6,1,2,3,5,7,6,1,3,6
7,9,6.41882771538629,12,12,9,7,14,8,12,12,9,7,4,7
7,10,8.24238453231222,15,23,9,3,10,8,15,23,9,3,4,11
7,11,8.13046327923682,10,27,11,2,5,6,10,27,11,2,4,12
7,12,4.83459560029603,5,17,7,3,8,6,5,16,7,3,4,8
7,13,8.30328835287923,8,16,6,3,7,5,8,15,6,3,4,7
8,1,3.9446027776323,10,12,6,2,7,6,10,12,6,2,4,7
8,2,3.91772506964302,10,10,6,2,6,5,10,10,6,2,4,9
8,3,3.14815492653907,7,13,6,2,6,5,7,12,6,2,4,10
8,4,3.59222618133839,15,17,8,2,8,7,15,17,8,2,4,9
8,5,3.55817804342392,15,18,9,3,10,5,15,18,9,3,5,10
8,6,3.1262473915725,4,21,5,4,5,11,4,20,11,5,4,13
8,7,4.63531654820845,6,23,7,2,13,10,6,21,7,2,4,10
8,8,5.27258699526183,4,7,6,1,2,3,5,7,6,1,3,6
8,9,3.35074899851308,12,12,9,7,14,8,12,12,9,7,4,7
8,10,5.52626709835631,15,23,9,3,10,8,15,23,9,3,4,11
8,11,3.2874390398054,10,27,11,2,5,6,10,27,11,2,4,12
8,12,4.53323812919372,5,17,7,3,8,6,5,16,7,3,4,8
8,13,4.24733269391841,8,16,6,3,7,5,8,15,6,3,4,7
9,1,4.51766231300705,10,12,6,2,7,6,10,12,6,2,4,7
9,2,2.90969804900253,10,10,6,2,6,5,10,10,6,2,4,9
9,3,3.82352204369585,7,13,6,2,6,5,7,12,6,2,4,10
9,4,2.47497984052553,15,17,8,2,8,7,15,17,8,2,4,9
9,5,2.44027381897765,15,18,9,3,10,5,15,18,9,3,5,10
9,6,3.15393012796517,4,21,5,4,5,11,4,20,11,5,4,13
9,7,3.24777293665813,6,23,7,2,13,10,6,21,7,2,4,10
9,8,17.1664440499428,4,7,6,1,2,3,5,7,6,1,3,6
9,9,21.3045871435671,12,12,9,7,14,8,12,12,9,7,4,7
9,10,22.6167374524932,15,23,9,3,10,8,15,23,9,3,4,11
9,11,,10,27,11,2,5,6,10,27,11,2,4,12
9,12,6.69226209228659,5,17,7,3,8,6,5,16,7,3,4,8
9,13,28.6676217215101,8,16,6,3,7,5,8,15,6,3,4,7
10,1,3.5838438824822,10,12,6,2,7,6,10,12,6,2,4,7
10,2,4.89853365097097,10,10,6,2,6,5,10,10,6,2,4,9
10,3,5.46143291315036,7,13,6,2,6,5,7,12,6,2,4,10
10,4,4.15743098212706,15,17,8,2,8,7,15,17,8,2,4,9
10,5,2.96624194728136,15,18,9,3,10,5,15,18,9,3,5,10
10,6,3.00373248149386,4,21,5,4,5,11,4,20,11,5,4,13
10,7,5.56927678858641,6,23,7,2,13,10,6,21,7,2,4,10
10,8,3.0394882511624,4,7,6,1,2,3,5,7,6,1,3,6
10,9,2.62800363366863,12,12,9,7,14,8,12,12,9,7,4,7
10,10,4.14796143135856,15,23,9,3,10,8,15,23,9,3,4,11
10,11,4.36892450658481,10,27,11,2,5,6,10,27,11,2,4,12
10,12,4.39453654094333,5,17,7,3,8,6,5,16,7,3,4,8
10,13,2.85042165206595,8,16,6,3,7,5,8,15,6,3,4,7
11,1,1.72087256330374,10,12,6,2,7,6,10,12,6,2,4,7
11,2,2.4853872898915,10,10,6,2,6,5,10,10,6,2,4,9
11,3,4.30897852051506,7,13,6,2,6,5,7,12,6,2,4,10
11,4,3.52311852320397,15,17,8,2,8,7,15,17,8,2,4,9
11,5,2.3473837176488,15,18,9,3,10,5,15,18,9,3,5,10
11,6,2.11748973079868,4,21,5,4,5,11,4,20,11,5,4,13
11,7,2.99522629942101,6,23,7,2,13,10,6,21,7,2,4,10
11,8,1.41429098783433,4,7,6,1,2,3,5,7,6,1,3,6
11,9,2.44570140764847,12,12,9,7,14,8,12,12,9,7,4,7
11,10,5.23493533166404,15,23,9,3,10,8,15,23,9,3,4,11
11,11,3.20111017670954,10,27,11,2,5,6,10,27,11,2,4,12
11,12,3.20663013410081,5,17,7,3,8,6,5,16,7,3,4,8
11,13,2.66531887261524,8,16,6,3,7,5,8,15,6,3,4,7
12,1,7.19286446412787,10,12,6,2,7,6,10,12,6,2,4,7
12,2,5.34580726000763,10,10,6,2,6,5,10,10,6,2,4,9
12,3,4.73772697872238,7,13,6,2,6,5,7,12,6,2,4,10
12,4,6.03639259395617,15,17,8,2,8,7,15,17,8,2,4,9
12,5,6.34426421657051,15,18,9,3,10,5,15,18,9,3,5,10
12,6,7.20713367106785,4,21,5,4,5,11,4,20,11,5,4,13
12,7,8.47743780908264,6,23,7,2,13,10,6,21,7,2,4,10
