subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
7,13,2,8,16,6,3,7,5,8,15,6,3,4,7
8,1,5,10,10,6,2,6,5,10,10,6,2,4,7
8,2,5,10,12,6,2,7,6,10,12,6,2,4,9
8,3,4,7,13,6,2,6,5,7,12,6,2,4,10
8,4,7,15,17,8,2,8,7,15,17,8,2,4,9
8,5,5,15,18,9,3,10,5,15,18,9,3,5,10
8,6,6,4,21,5,4,5,11,4,20,11,5,4,13
8,7,5,6,23,7,2,13,10,6,21,7,2,4,10
8,8,4,4,7,6,1,2,3,5,7,6,1,3,6
8,9,4,12,12,9,7,14,8,12,12,9,7,4,7
8,10,6,15,23,9,3,10,8,15,23,9,3,4,11
8,11,7,10,27,11,2,5,6,10,27,11,2,4,12
8,12,5,5,17,7,3,8,6,5,16,7,3,4,8
8,13,5,8,16,6,3,7,5,8,15,6,3,4,7
9,1,8,10,10,6,2,6,5,10,10,6,2,4,7
9,2,4,10,12,6,2,7,6,10,12,6,2,4,9
9,3,4,7,13,6,2,6,5,7,12,6,2,4,10
9,4,3,15,17,8,2,8,7,15,17,8,2,4,9
9,5,5,15,18,9,3,10,5,15,18,9,3,5,10
9,6,2,4,21,5,4,5,11,4,20,11,5,4,13
9,7,4,6,23,7,2,13,10,6,21,7,2,4,10
9,8,2,4,7,6,1,2,3,5,7,6,1,3,6
9,9,1,12,12,9,7,14,8,12,12,9,7,4,7
9,10,9,15,23,9,3,10,8,15,23,9,3,4,11
9,11,5,10,27,11,2,5,6,10,27,11,2,4,12
9,12,4,5,17,7,3,8,6,5,16,7,3,4,8
9,13,2,8,16,6,3,7,5,8,15,6,3,4,7
10,1,5,10,10,6,2,6,5,10,10,6,2,4,7
10,2,3,10,12,6,2,7,6,10,12,6,2,4,9
10,3,2,7,13,6,2,6,5,7,12,6,2,4,10
10,4,5,15,17,8,2,8,7,15,17,8,2,4,9
10,5,4,15,18,9,3,10,5,15,18,9,3,5,10
10,6,4,4,21,5,4,5,11,4,20,11,5,4,13
10,7,4,6,23,7,2,13,10,6,21,7,2,4,10
10,8,3,4,7,6,1,2,3,5,7,6,1,3,6
10,9,3,12,12,9,7,14,8,12,12,9,7,4,7
10,10,6,15,23,9,3,10,8,15,23,9,3,4,11
10,11,5,10,27,11,2,5,6,10,27,11,2,4,12
10,12,3,5,17,7,3,8,6,5,16,7,3,4,8
10,13,6,8,16,6,3,7,5,8,15,6,3,4,7
11,1,2,10,10,6,2,6,5,10,10,6,2,4,7
