Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P11,O2,18,0.505644258637772,1.03823731321691,0.994015623843149
P11,O1,19,0.493075885478336,0.756939779316306,0.952752740273566
P13,Fp2,1,0.610539889372102,1.2566024444909,0.952104970719948
P13,Fp1,2,0.605562034955256,1.19718973900333,0.934802219958619
P13,F8,3,0.383349455908985,-1.45500725370727,1
P13,F4,4,0.42147193912156,-1,0.807359073075673
P13,Fz,5,0.409470189320635,-1.14324573732908,1
P13,F3,6,0.529817671707431,0.293150132951916,0.964404019638964
P13,F7,7,0.579584507337845,0.887137441691177,0.835171576162999
P13,T4,8,0.40497158881582,-1.19693835356838,1
P13,C4,9,0.456523512613786,-0.581645295667549,0.864474389722327
P13,Cz,10,0.615807025656378,1.31946784605058,0.994366908399463
P13,C3,11,0.391036877485421,-1.3632547684329,1
P13,T3,12,0.331929516439496,-2.06872502527384,1
P13,T6,13,0.572155699314955,0.798471613760574,0.98861441241341
P13,P4,14,0.599522440529235,1.12510473714325,0.989674091696715
P13,Pz,15,0.428174093359542,-0.920007078847884,0.252025927693693
P13,P3,16,0.582195921627765,0.918305727285873,0.995812258964471
P13,T5,17,0.504663173673867,-0.00707897344747042,0.927480571888593
P13,O2,18,0.50525628080395,0,0.949429861344982
P13,O1,19,0.581593339362718,0.911113664270914,0.949631828939928
P14,Fp2,1,0.722017566842712,1.04849625625709,1
P14,Fp1,2,0.725954324421634,1.08751161756663,0.81356679499542
P14,F4,3,0.514074158751791,-1.01233350934532,0.862433745848111
P14,F3,4,0.593996359199051,-0.220261997551396,0.995615318396167
P14,C4,5,0.610465854925534,-0.0570405358604499,1
P14,C3,6,0.616221402338586,0,1
P14,P4,7,0.726842442074064,1.09631333583357,0.984851005209635
P14,P3,8,0.734092428984249,1.16816456190468,0.992392211617705
P14,O2,9,0.68184345608898,0.650349452720531,0.994994200477126
P14,O1,10,0.723543118121652,1.06361528077177,0.998848632547133
P14,F8,11,0.499201433793716,-1.159730123504,0.959995064636776
P14,F7,12,0.717124160810796,1,0.605547100856921
P14,T4,13,0.57655335659011,-0.393131430191787,1
P14,T3,14,0.594041195717272,-0.21981764381024,1
P14,T6,15,0.696773692765102,0.798316038591757,0.988633518070939
P14,T5,16,0.637668861091468,0.212555722733674,0.988045912035072
P14,Fz,17,0.590994196869288,-0.250015022892033,0.972239059318976
P14,Cz,18,0.487011850051714,-1.28053538122508,0.989302301558625
P14,Pz,19,0.458673082424332,-1.56138763993896,-0.142647777527683
P15,Fp2,1,0.743475775249859,1.52909811600367,0.979363172777566
P15,Fp1,2,0.742221651990322,1.51017237021483,0.944834787224256
P15,F8,3,0.503835444091904,-2.08727049351066,0.881827335668537
P15,F4,4,0.626867872800554,-0.230610510675795,0.90431359965021
P15,Fz,5,0.509617244877615,-2.00001839046576,1
P15,F3,6,0.62334002840217,-0.283848568226125,0.992580758820847
P15,F7,7,0.699486482954502,0.865263714494592,0.262930874905843
P15,T4,8,0.524174470650311,-1.78033794656212,1
P15,C4,9,0.554542908136233,-1.32205338522216,1
P15,Cz,10,0.749721291792947,1.62334806912086,0.987899468822312
P15,C3,11,0.541091392462167,-1.52504775932865,0.957275473338489
P15,T3,12,0.54310424897113,-1.49467210820475,0.964891920532249
P15,T6,13,0.670311336666176,0.424986893371568,0.987666081137756
P15,P4,14,0.696106756853331,0.814260883201652,0.965727813535717
P15,Pz,15,0.63480673589388,-0.110806573053075,-0.384162550460377
P15,P3,16,0.673311639304819,0.470263914267852,0.979041199990375
P15,T5,17,0.642149384480934,0,0.983142266157429
