Participant,SnippetID,SurveyCL,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI
14,7,6,6,23,7,2,13,10
14,8,3,4,7,6,1,2,3
14,9,3,12,12,9,7,14,8
14,10,8,15,23,9,3,10,8
14,11,5,10,27,11,2,5,6
14,12,5,5,17,7,3,8,6
14,13,4,8,16,6,3,7,5
15,1,4,10,12,6,2,7,6
15,2,2,10,10,6,2,6,5
15,3,3,7,13,6,2,6,5
15,4,5,15,17,8,2,8,7
15,5,4,15,18,9,3,10,5
15,6,2,4,21,11,5,5,11
15,7,5,6,23,7,2,13,10
15,8,2,4,7,6,1,2,3
15,9,2,12,12,9,7,14,8
15,10,6,15,23,9,3,10,8
15,11,2,10,27,11,2,5,6
15,12,2,5,17,7,3,8,6
15,13,2,8,16,6,3,7,5
16,1,3,10,12,6,2,7,6
16,2,4,10,10,6,2,6,5
16,3,3,7,13,6,2,6,5
16,4,4,15,17,8,2,8,7
16,5,8,15,18,9,3,10,5
16,6,3,4,21,11,5,5,11
16,7,5,6,23,7,2,13,10
16,8,2,4,7,6,1,2,3
16,9,2,12,12,9,7,14,8
16,10,7,15,23,9,3,10,8
16,11,5,10,27,11,2,5,6
16,12,4,5,17,7,3,8,6
16,13,2,8,16,6,3,7,5
17,1,5,10,12,6,2,7,6
17,2,2,10,10,6,2,6,5
17,3,5,7,13,6,2,6,5
17,4,5,15,17,8,2,8,7
17,5,7,15,18,9,3,10,5
17,6,4,4,21,11,5,5,11
17,7,6,6,23,7,2,13,10
17,8,1,4,7,6,1,2,3
17,9,2,12,12,9,7,14,8
17,10,7,15,23,9,3,10,8
17,11,4,10,27,11,2,5,6
17,12,4,5,17,7,3,8,6
17,13,3,8,16,6,3,7,5
18,1,8,10,12,6,2,7,6
18,2,8,10,10,6,2,6,5
18,3,7,7,13,6,2,6,5
18,4,5,15,17,8,2,8,7
18,5,7,15,18,9,3,10,5
18,6,7,4,21,11,5,5,11
18,7,7,6,23,7,2,13,10
18,8,7,4,7,6,1,2,3
18,9,8,12,12,9,7,14,8
18,10,5,15,23,9,3,10,8
18,11,8,10,27,11,2,5,6
18,12,6,5,17,7,3,8,6
18,13,6,8,16,6,3,7,5
19,1,1,10,12,6,2,7,6
19,2,3,10,10,6,2,6,5
19,3,2,7,13,6,2,6,5
19,4,3,15,17,8,2,8,7
19,5,3,15,18,9,3,10,5
19,6,3,4,21,11,5,5,11
19,7,3,6,23,7,2,13,10
19,8,3,4,7,6,1,2,3
19,9,2,12,12,9,7,14,8
19,10,5,15,23,9,3,10,8
19,11,2,10,27,11,2,5,6
19,12,2,5,17,7,3,8,6
19,13,3,8,16,6,3,7,5
20,1,7,10,12,6,2,7,6
20,2,3,10,10,6,2,6,5
20,3,4,7,13,6,2,6,5
20,4,6,15,17,8,2,8,7
20,5,5,15,18,9,3,10,5
20,6,3,4,21,11,5,5,11
20,7,7,6,23,7,2,13,10
20,8,3,4,7,6,1,2,3
20,9,2,12,12,9,7,14,8
20,10,7,15,23,9,3,10,8
20,11,5,10,27,11,2,5,6
20,12,5,5,17,7,3,8,6
20,13,4,8,16,6,3,7,5
21,1,7,10,12,6,2,7,6
21,2,1,10,10,6,2,6,5
21,3,1,7,13,6,2,6,5
21,4,3,15,17,8,2,8,7
21,5,5,15,18,9,3,10,5
21,6,3,4,21,11,5,5,11
21,7,8,6,23,7,2,13,10
21,8,4,4,7,6,1,2,3
